# Frequency Report — water_street_menu.yaml
Rank  Word                       Count      Pct
--------------------------------------------------
   1  item                         148  10.306%
   2  price                        115   8.008%
   3  description                   82   5.710%
   4  shrimp                        26   1.811%
   5  bottle                        22   1.532%
   6  region                        22   1.532%
   7  items                         20   1.393%
   8  glass                         20   1.393%
   9  origin                        16   1.114%
  10  roll                          15   1.045%
  11  avocado                       14   0.975%
  12  bacon                         13   0.905%
  13  california                    13   0.905%
  14  gulf                          13   0.905%
  15  fried                         11   0.766%
  16  oysters                       11   0.766%
  17  cheese                        10   0.696%
  18  cucumber                      10   0.696%
  19  spicy                         10   0.696%
  20  sauce                         10   0.696%
  21  cream                          9   0.627%
  22  eggs                           8   0.557%
  23  crab                           8   0.557%
  24  vodka                          8   0.557%
  25  red                            8   0.557%
  26  tuna                           8   0.557%
  27  chicken                        8   0.557%
  28  tx                             7   0.487%
  29  with                           7   0.487%
  30  house                          7   0.487%
  31  salmon                         6   0.418%
  32  onion                          6   0.418%
  33  remoulade                      6   0.418%
  34  water                          5   0.348%
  35  served                         5   0.348%
  36  of                             5   0.348%
  37  and                            5   0.348%
  38  st                             5   0.348%
  39  lemon                          5   0.348%
  40  mayo                           5   0.348%
  41  island                         5   0.348%
  42  green                          5   0.348%
  43  or                             4   0.279%
  44  english                        4   0.279%
  45  muffins                        4   0.279%
  46  poached                        4   0.279%
  47  homemade                       4   0.279%
  48  hollandaise                    4   0.279%
  49  spinach                        4   0.279%
  50  the                            4   0.279%
  51  bloody                         4   0.279%
  52  mary                           4   0.279%
  53  mix                            4   0.279%
  54  grapefruit                     4   0.279%
  55  martini                        4   0.279%
  56  lime                           4   0.279%
  57  eel                            4   0.279%
  58  topped                         4   0.279%
  59  blackened                      4   0.279%
  60  new                            4   0.279%
  61  prince                         4   0.279%
  62  edward                         4   0.279%
  63  crawfish                       4   0.279%
  64  crusted                        4   0.279%
  65  blanc                          4   0.279%
  66  nueces                         4   0.279%
  67  central                        4   0.279%
  68  pinot                          4   0.279%
  69  oyster                         3   0.209%
  70  time                           3   0.209%
  71  note                           3   0.209%
  72  browns                         3   0.209%
  73  blue                           3   0.209%
  74  fish                           3   0.209%
  75  made                           3   0.209%
  76  french                         3   0.209%
  77  bitters                        3   0.209%
  78  pink                           3   0.209%
  79  prosecco                       3   0.209%
  80  orange                         3   0.209%
  81  tempura                        3   0.209%
  82  cilantro                       3   0.209%
  83  saltines                       3   0.209%
  84  aransas                        3   0.209%
  85  bay                            3   0.209%
  86  rockefeller                    3   0.209%
  87  parmesan                       3   0.209%
  88  bleu                           3   0.209%
  89  smoked                         3   0.209%
  90  sweet                          3   0.209%
  91  tartar                         3   0.209%
  92  creole                         3   0.209%
  93  cornmeal                       3   0.209%
  94  caesar                         3   0.209%
  95  seafood                        3   0.209%
  96  honey                          3   0.209%
  97  grilled                        3   0.209%
  98  tomato                         3   0.209%
  99  stuffed                        3   0.209%
 100  rice                           3   0.209%
