# Frequency Report — water_street_menu.yaml
Rank  Word                       Count      Pct
--------------------------------------------------
   1  price                         71  19.944%
   2  item                          68  19.101%
   3  roll                          13   3.652%
   4  items                         11   3.090%
   5  shrimp                         9   2.528%
   6  oysters                        8   2.247%
   7  chicken                        5   1.405%
   8  eggs                           4   1.124%
   9  fried                          4   1.124%
  10  seafood                        3   0.843%
  11  salmon                         3   0.843%
  12  gulf                           3   0.843%
  13  rockefeller                    3   0.843%
  14  crab                           3   0.843%
  15  stuffed                        3   0.843%
  16  blackened                      3   0.843%
  17  time                           2   0.562%
  18  cheese                         2   0.562%
  19  salad                          2   0.562%
  20  water                          2   0.562%
  21  st                             2   0.562%
  22  grilled                        2   0.562%
  23  sushi                          2   0.562%
  24  spicy                          2   0.562%
  25  tuna                           2   0.562%
  26  dragon                         2   0.562%
  27  raw                            2   0.562%
  28  dozen                          2   0.562%
  29  wood                           2   0.562%
  30  fired                          2   0.562%
  31  dip                            2   0.562%
  32  peel                           2   0.562%
  33  em                             2   0.562%
  34  lb                             2   0.562%
  35  crawfish                       2   0.562%
  36  pecan                          2   0.562%
  37  crusted                        2   0.562%
  38  bacon                          2   0.562%
  39  fries                          2   0.562%
  40  potato                         2   0.562%
  41  categories                     1   0.281%
  42  brunch                         1   0.281%
  43  sunday                         1   0.281%
  44  benedict                       1   0.281%
  45  orleans                        1   0.281%
  46  sardou                         1   0.281%
  47  sonesta                        1   0.281%
  48  pain                           1   0.281%
  49  perdu                          1   0.281%
  50  ham                            1   0.281%
  51  omelet                         1   0.281%
  52  starter                        1   0.281%
  53  salads                         1   0.281%
  54  caldo                          1   0.281%
  55  xochitl                        1   0.281%
  56  gumbo                          1   0.281%
  57  barbecue                       1   0.281%
  58  deluxe                         1   0.281%
  59  wedge                          1   0.281%
  60  caesar                         1   0.281%
  61  avocado                        1   0.281%
  62  tempura                        1   0.281%
  63  padre                          1   0.281%
  64  island                         1   0.281%
  65  lucky                          1   0.281%
  66  spider                         1   0.281%
  67  tidal                          1   0.281%
  68  wave                           1   0.281%
  69  rainbow                        1   0.281%
  70  red                            1   0.281%
  71  black                          1   0.281%
  72  pearl                          1   0.281%
  73  half                           1   0.281%
  74  broiled                        1   0.281%
  75  bleu                           1   0.281%
  76  smoked                         1   0.281%
  77  fish                           1   0.281%
  78  campechana                     1   0.281%
  79  waterstreet                    1   0.281%
  80  tower                          1   0.281%
  81  appetizers                     1   0.281%
  82  picayune                       1   0.281%
  83  blue                           1   0.281%
  84  mushrooms                      1   0.281%
  85  spinach                        1   0.281%
  86  artichoke                      1   0.281%
  87  enbrochette                    1   0.281%
  88  creole                         1   0.281%
  89  hushpuppies                    1   0.281%
  90  tails                          1   0.281%
  91  crispy                         1   0.281%
  92  calamari                       1   0.281%
  93  cakes                          1   0.281%
  94  southern                       1   0.281%
  95  okra                           1   0.281%
  96  platter                        1   0.281%
  97  wrapped                        1   0.281%
  98  mesquite                       1   0.281%
  99  sampler                        1   0.281%
 100  pasta                          1   0.281%
